Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Zr,ele Num,Molar volum,Bulk module,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Microstructure,FCC,BCC,IM,hv,E (GPa),,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,160,no,,,,
CoCrFeNiMn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38161053,1801.2,3.269463577,0.138361844,8,FCC,1,0,0,170,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,534,no,,,,
AlCoCrFeNiV0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0,0.038461538,0,6,7.546923062,153.4615382,-13.07692308,14.22238699,1703.282689,5.680701538,0.121601736,7.115384615,BCC,0,1,0,557.6,no,,,,
AlCoCrFeNiV0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0.090909091,0,6,7.589090917,153.818182,-13.95041322,14.69798576,1729.449093,5.54334911,0.122575664,7,BCC,0,1,0,591.3,no,,,,
AlCoCrFeNiV0.8,0.172413793,0.172413793,0.172413793,0.172413793,0.172413793,0,0,0,0.137931034,0,6,7.626896544,154.1379309,-14.57788347,14.87154905,1752.908619,5.415173379,0.123026635,6.896551724,BCC,0,1,0,624.8,no,,,,
AlCoCrFeNiV1.0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0.166666667,0,6,7.650000015,154.3333336,-14.88888889,14.8975162,1767.245004,5.334355637,0.123107902,6.833333333,BCC,0,1,0,648.8,no,,,,
Al2CoCrFeNi,0.047619048,0.238095238,0.238095238,0.238095238,0.238095238,0,0,0,0,0,5,7.042857144,167.9047619,-15.44444444,12.97646755,1827.07,3.155655494,0.126622799,6.5,BCC + Im,0,1,1,580,no,,,,
Al1.8CoCrFeNiTi0.2,0.3,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.033333333,0,0,6,7.951333339,141.4666669,-17.2,13.8774309,1592.574335,6.79244609,0.129786577,6.533333333,BCC + Im,0,1,1,600,no,,,,
Al1.5CoCrFeNiTi0.5,0.25,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.083333333,0,0,6,7.983333339,143.1666669,-19.33333333,14.53497229,1642.950835,6.958358733,0.134316686,6.583333333,BCC + Im,0,1,1,640,no,,,,
Al1.2CoCrFeNiTi0.8,0.2,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.133333333,0,0,6,8.015333339,144.8666669,-20.86666667,14.84171088,1693.327335,7.117831285,0.138610566,6.633333333,BCC,0,1,0,620,no,,,,
AlCoCrFeNiTi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,6,8.036666683,146.0000003,-21.56,14.9,1726.91167,7.220787893,0.14,6.67,BCC + Im,0,1,1,700,no,,,,
Al0.8CoCrFeNiTi1.2,0.133333333,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.2,0,0,6,8.058000006,147.1333335,-21.97777778,14.84171088,1760.496002,7.321195913,0.14400463,6.7,BCC + Im,0,1,1,850,no,,,,
Fe22Co20Ni19Cr20Mn12Al7,0.07,0.2,0.2,0.22,0.19,0,0.12,0,0,0,6,7.1739,159.32,-7.5184,14.40897963,1763.9629,4.345955752,0.130196621,7.71,FCC + BCC + Im,1,1,1,no,no,,,,
Fe40Mn40Co10Cr10,0,0.1,0.1,0.4,0,0,0.4,0,0,0,4,7.166,150,-0.96,9.923722948,1726.8,4.045008413,0.138289551,7.5,FCC,1,0,0,no,no,,,,
FeMnNiCoCr,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38161053,1801.2,3.269463577,0.138361844,8,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
Fe50Mn30Co10Cr10,0,0.1,0.1,0.5,0,0,0.3,0,0,0,4,7.14,155,-0.92,9.713640154,1756,3.833181374,0.132075736,7.6,FCC + Im,1,0,1,no,no,,,,
Fe37Mn45Co9Cr9,0,0.09,0.09,0.37,0,0,0.45,0,0,0,4,7.1818,147.5,-0.882,9.650030892,1708.94,4.092070055,0.1392543,7.46,FCC,1,0,0,no,no,,,,
Al10Co25Cr8Fe15Ni36Ti6,0.1,0.25,0.08,0.15,0.36,0,0,0.06,0,0,6,7.3202,162.3,-13.9748,13.30361728,1719.937,5.655462385,0.122434105,8.07,FCC + Im,1,0,1,no,no,,,,
CoCrFeNiTi0.2,0,0.238095238,0.238095238,0.238095238,0.238095238,0,0,0.047619048,0,0,5,7.073333335,169.5238095,-7.346938776,12.56917544,1875.047619,3.65843601,0.111625792,8.047619048,FCC,1,0,0,no,no,,,,
Al0.3CoCrCu0.3FeNi,0.065217391,0.217391304,0.217391304,0.217391304,0.217391304,0.065217391,0,0,0,0,6,7.111521724,164.0869562,-4.383742911,13.99403985,1777.037388,3.647211564,0.106545916,8.086956522,FCC,1,0,0,no,no,,,,
CrCoFeNiMn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
Cr26Mn20Fe20Co20Ni14,0,0.2,0.26,0.2,0.14,0,0.2,0,0,0,5,7.0244,160.8,-3.7232,13.22962036,1828.32,3.262141651,0.135458481,7.76,FCC,1,0,0,no,no,,,,
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,5,7.239999993,161.7777776,-9.09,13.15,1767.496665,4.602314544,0.11,7.67,FCC + BCC,1,1,0,no,no,,,,
Ni45(FeCoCr)40(AlTi)15,0.075,0.133333333,0.133333333,0.133333333,0.45,0,0,0.075,0,0,6,7.31216666,162.9499998,-14.63666667,12.91925854,1761.051915,5.631744262,0.12911663,8.091666667,FCC + Im,1,0,1,no,no,,,,
FeCoNiCrMn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38161053,1801.2,3.269463577,0.138361844,8,FCC,1,0,0,no,no,,,,
Ti40Zr10Ni40Co5Cu5,0,0.05,0,0,0.4,0.05,0,0.4,0,0.1,5,8.9834,135.0408,-34.1,10.50003754,1836.6885,7.538310612,0.212569988,7,BCC + Im,0,1,1,409,no,,,,
Ti30Zr20Ni30Co10Cu10,0,0.1,0,0,0.3,0.1,0,0.3,0,0.2,5,9.3518,125.0816,-33.2,12.51150515,1838.877,10.20926813,0.23471046,7,BCC + Im,0,1,1,517,no,,,,
Ti25Zr25Ni16.67Co16.67Cu16.67,0,0.166666667,0,0,0.166666667,0.166666667,0,0.25,0,0.25,5,9.561000007,118.4353335,-29.7219997,13.21207256,1826.211668,10.47747671,0.242639159,7.00029997,BCC + Im,0,1,1,538,no,,,,
CrFeMnV,0,0,0.25,0.25,0,0,0.25,0,0.25,0,4,7.4975,152.5,-2.25,11.52629192,1923.25,3.545392507,0.102072278,6.5,BCC,0,1,0,383,no,,,,
CrMn0.3FeVCu0.06,0,0,0.297619048,0.297619048,0,0.017857143,0.089285714,0,0.297619048,0,5,7.521309531,159.0476192,2.186791383,11.38813601,1997.370895,3.081938933,0.098349024,6.476190476,FCC + BCC,1,1,0,451,no,,,,
CrMn0.5FeVCu0.10,0,0,0.277777778,0.277777778,0,0.027777778,0.138888889,0,0.277777778,0,5,7.50722223,156.6666668,2.37654321,11.98251164,1963.688057,3.248968029,0.10315808,6.555555556,FCC + BCC,1,1,0,475,no,,,,
CrMn0.7FeVCu0.14,0,0,0.260416667,0.260416667,0,0.036458333,0.182291667,0,0.260416667,0,5,7.494895841,154.5833335,2.520616319,12.32346653,1934.215575,3.361580698,0.106926652,6.625,FCC + BCC,1,1,0,445,no,,,,
CrMnFeVCu0.20,0,0,0.238095238,0.238095238,0,0.047619048,0.238095238,0,0.238095238,0,5,7.479047619,151.9047619,2.675736961,12.56917544,1896.322381,3.466126822,0.111239155,6.714285714,FCC + BCC,1,1,0,424,no,,,,
CoCrCuFeNi,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,5,6.938,166,3.2,13.38,1768.954,1.033203661,0.09,8.8,FCC,1,0,0,no,no,,,,
AlCrFeMnNi,0.2,0,0.2,0.2,0.2,0,0.2,0,0,0,5,7.652,141.2,-12.48,13.38161053,1634.294,5.827707431,0.136,6.8,BCC,0,1,0,450.7,no,,,,
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,5,7.239999993,161.7777776,-9.09,13.15,1767.496665,4.602314544,0.11,7.67,FCC + BCC,1,1,0,no,no,,,,
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,5,7.239999993,161.7777776,-9.09,13.15,1767.496665,4.602314544,0.11,7.67,FCC + BCC,1,1,0,180,no,,,,
Al8Co17Cr17Cu8Fe17Ni33,0.08,0.17,0.17,0.17,0.33,0.08,0,0,0,0,6,7.1118,163.38,-5.1292,13.91569271,1732.5692,3.985354213,0.108064795,8.33,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
CoCrFeNiV0.25,0,0.235294118,0.235294118,0.235294118,0.235294118,0,0,0,0.058823529,0,5,6.978823536,171.7647061,-5.591695502,12.70837022,1890.058825,1.335027536,0.103916389,8.058823529,FCC,1,0,0,no,no,,,,
CoCrFeNiV0.5,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0.111111111,0,5,7.053333326,171.1111109,-7.012345679,13.14594406,1906.333331,1.757830504,0.108979554,7.888888889,FCC + Im,1,0,1,no,no,,,,
CoCrFeNiV0.7,0,0.212765957,0.212765957,0.212765957,0.212765957,0,0,0,0.14893617,0,5,7.107234028,170.6382975,-7.913082843,13.30882902,1918.106379,1.980681892,0.111952101,7.765957447,FCC + Im,1,0,1,no,no,,,,
CoCrFeNiV0.8,0,0.208333333,0.208333333,0.208333333,0.208333333,0,0,0,0.166666667,0,5,7.132499994,170.4166665,-8.298611111,13.35141737,1923.624998,2.069154562,0.113161635,7.708333333,FCC + Im,1,0,1,no,no,,,,
CoCrFeNiV0.9,0,0.204081633,0.204081633,0.204081633,0.204081633,0,0,0,0.183673469,0,5,7.1567347,170.2040818,-8.646397334,13.37453678,1928.918369,2.146135282,0.114216451,7.653061224,FCC + Im,1,0,1,no,no,,,,
CoCrFeNiV,0,0.2,0.2,0.2,0.2,0,0,0,0.2,0,5,7.18,170,-8.96,13.38161053,1934,2.213558747,0.115134704,7.6,FCC + Im,1,0,1,no,no,,,,
Al0.1CoCrFeNi,0.024390244,0.243902439,0.243902439,0.243902439,0.243902439,0,0,0,0,0,5,6.970731708,170.1463415,-5.04,12.2,1848.865122,2.303052017,0.1,8.12,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
AlCoCrFeNi2.1,0.163934426,0.163934426,0.163934426,0.163934426,0.344262295,0,0,0,0,0,5,7.349016386,158.0327867,-11.94,12.91,1692.011474,5.380705297,0.12,7.7,FCC + BCC,1,1,0,no,no,,,,
Fe45Cr10V10Co10Ni25,0,0.1,0.1,0.45,0.25,0,0,0,0.1,0,5,7.06,171.5,-5.82,11.61262282,1860.05,1.739286365,0.092714616,8.1,FCC,1,0,0,no,no,,,,
Fe45Cr10V10Co20Ni15,0,0.2,0.1,0.45,0.15,0,0,0,0.1,0,5,7.068,171.5,-5.36,11.85892612,1864.05,1.732527204,0.090138782,8,FCC,1,0,0,no,no,,,,
Fe45Cr10V10Co30Ni5,0,0.3,0.1,0.45,0.05,0,0,0,0.1,0,5,7.076,171.5,-4.9,11.06508518,1868.05,1.724828537,0.087384209,7.9,FCC + BCC + Im,1,1,1,no,no,,,,
Fe45Cr10V10Co35,0,0.35,0.1,0.45,0,0,0,0,0.1,0,4,7.08,171.5,-4.67,9.87162138,1870.05,1.720623695,0.085934568,7.85,FCC + BCC + Im,1,1,1,no,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,6,7.800000008,149.2727274,-17.92,14.7,1707.449093,6.717619519,0.13,6.91,BCC,0,1,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
AlCoCrNi,0.25,0.25,0.25,0,0.25,0,0,0,0,0,4,7.6225,149,-15.5,11.52629192,1652.3675,6.134075267,0.131624466,7,BCC + Im,0,1,1,770,no,,,,
